stroke_id,mse_raw,mae_raw,mse_bezier,mae_bezier,mse_ml,mae_ml,cont_raw,cont_bezier,cont_ml
24,0.0045220847,0.04634238,0.004385768892405786,0.047910447241812086,0.0013965991,0.02894618,0.017813757,0.009143745895750982,0.0073764524
25,0.0014957392,0.031062752,0.0012911174837482034,0.02945143241733876,0.0009193142,0.025478516,0.018998235,0.009626289658117501,0.009127481
26,0.0041441084,0.04644636,0.004283286431358255,0.04749993265466075,0.0039140657,0.046986427,0.018219944,0.008878417410697814,0.0073540164
27,0.0055766082,0.06566326,0.004928705332064372,0.06166307146359821,0.0038411398,0.05372648,0.021262532,0.011557955634943813,0.009440524
28,0.005869573,0.06285903,0.02611299525149091,0.1348491298452167,0.004064714,0.052304603,0.026496049,0.01601731454527783,0.015458451
29,0.0048667,0.060990028,0.004581084464783057,0.059032289993353484,0.0016180058,0.03482148,0.020715578,0.009816772245868128,0.0076692994
30,0.001585783,0.032159004,0.004926457096392911,0.055088848748952174,0.00059402967,0.020162027,0.022488872,0.01421395687215907,0.015037125
31,0.0011986168,0.027637063,0.0014880686235172187,0.03156206639288998,0.0029427074,0.041165072,0.01955343,0.01177829519711784,0.011286193
32,0.010024253,0.08881456,0.010748502791427677,0.0933095038357845,0.0034275874,0.050738327,0.022606246,0.011929990631704319,0.009138785
33,0.0061563365,0.056389052,0.006165021278389779,0.05524688191608031,0.0049253246,0.048146866,0.0180058,0.008388387208600004,0.006734611
34,0.0042140377,0.05347072,0.004018064072954418,0.053259576531927595,0.0038493136,0.049858563,0.0204689,0.010754650345599,0.008234563
35,0.00050744123,0.017805623,0.00033333803067083385,0.014553469884729067,0.00018401773,0.0103720855,0.019077463,0.009962118359762219,0.00785883
36,0.010585944,0.09173709,0.015079852182459597,0.10956435795231836,0.007258661,0.076312505,0.02074975,0.011050445155420268,0.009517861
37,0.002703167,0.043522716,0.002444890194229918,0.041919806737716905,0.0012290428,0.028145105,0.020114467,0.010394742797228792,0.008879553
38,0.0013094409,0.030631317,0.0025089056427097375,0.04298705872721853,0.000436569,0.01775783,0.0196922,0.011437623625739336,0.009104948
39,0.003859839,0.05113458,0.003971637160671589,0.049177306307139484,0.002664962,0.04061567,0.01800597,0.009681729748164787,0.008203169
40,0.0017246715,0.03299291,0.00143870362618364,0.02998364554015055,0.0012890463,0.03084717,0.024229813,0.013812164820030287,0.01203417
41,0.0020420859,0.037604548,0.010006795601648721,0.079601399146243,0.0017187488,0.03368666,0.024045149,0.014290858613199163,0.014884126
42,0.0035019377,0.052463442,0.0038552530140968937,0.05505978911324362,0.0014219857,0.031497587,0.021288991,0.011403596333407536,0.009693634
43,0.003230371,0.048212264,0.0028967515036650614,0.046137057299882156,0.0016390652,0.0324355,0.018717913,0.009551359206528335,0.008036675
